"compound","sentence1","sentence2","sentence3"
"pecking order",". i know you can say that birds are only too keen to demonstrate the pecking order and some may conveniently be described as bullies . but by and large everyone gets","does n ' t come to blows but you feel there ' s some sorting out of the pecking order going on . goldfinches and tits are the regulars at the bird feeders . a","each other and with a group within which there is little assertion of rank or pecking order among participants . brainstorming is the basis for other group decision - making techniques . appendix b"
"phone book","sent1: ('""http://www.howtobooks.co.uk/abroad/canada/jobs.asp""', 6)","sent2: ('""http://www.nbu.ac.uk/biota/Archive_researchmatters/6389.htm""', 19)","sent3: ('""http://www.itweb.force9.co.uk/development/dbDevIntro.htm""', 6)"
"pillow slip","i ' d rather use little incidents like when the clash stole a pillow slip from a hotel .","we provide : mattresses ; mattress cover and clean under sheet ; pillow & pillow slip .","she discovered a very beautifully bound leather book , with pages stiff and creamy as starched pillow slips ."
"pipe dream","the party ' s vision of an independent , socialist scotland is fast becoming a pipe dream .","are these plans the pipe dreams of self - aggrandising bureaucrats ?","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a pipe dream ."
"pocket book","sent1: ('""http://www.york-united-kingdom.co.uk/hotels/""', 9)","sent2: ('""http://at.orpheusweb.co.uk/Daffodil/leaving.htm""', 36)","she had written down the date in her pocket book of the day when she dispatched it ."
"poison pill","sent1: ('""http://www.paulflynnmp.co.uk/commonsdetail.jsp?id=124""', 10)","sent2: ('""http://journalism.cf.ac.uk/2005/MAJS/sjofbm/murdoch.html""', 26)","sent3: ('""http://www.dtg.org.uk/news/news.php?class=&subclass=&id=1072""', 14)"
"polo shirt","we went to guernsey last september we were all decked out in a specific tour polo shirt . we looked the best team there and everyone knew who we were ( this","if we use your review we will send you one of our hook norton brewery polo shirts , so remember , tell us your size ! . payment is via paypal .","they need to get in touch with sca - this year they will be white polo shirts , with the sca hand on the back and your name and position on the"
"prison guard","sent1: ('""http://www.usedbooksearch.co.uk/inkbites/authors/authors%20aclayfield/authors%20aClayfield%20terra.htm""', 5)","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single prison guard .","sent3: ('""http://www.poptel.org.uk/mozambique-news/newsletter/aim260.html""', 23)"
"prison term","sent1: ('""http://www.assetsrecovery.gov.uk/MediaCentre/ProceedsOfCrimeUpdate/2004/Issue28100604.htm""', 12)","sent2: ('""http://www.cmumusicnetwork.co.uk/daily/archive/022.html""', 15)","sent3: ('""http://www.inminds.co.uk/hijab-ban/freedom.html""', 76)"
"private eye","carmella is missing , but will private eye connor take the case ?","if you want dirt , the private eye suggested , you should steal the man ' s garbage .","sent3: ('""http://www.wfhowes.co.uk/catalogue/titles.php?&t=277""', 7)"
"public service","needs to be improved . the freeing - up of radio spectrum for new applications and modernising public services both need to be sped up too , the authors say . reding added :","hold them responsible for results but currently lacks opportunities to exercise any real influence on public services . localisation creates space for relationships - other than the otherwise dominant relationship between frontline","spraying champagne over the crowd . that is irresponsible and it does not deliver better public services . productivity in key services like the nhs has been falling like a stone ."
"radio station","the times educational supplement ) and as a broadcaster for the bbc and various independent radio stations . he was the editor of books for keeps from 1989 till 1996 when it","substantially over the years and is known as one of the biggest and experienced student radio stations around . how it happened in 1968 , students at york university received ministry of","power efficiency figures , and have a similarly large effect on the distribution costs per radio station . the effect of transmission frequency - - which seems to be somewhat overlooked - - has"
"radioactive material","we are exhausting fossil fuels and using dangerous radioactive materials to produce energy and run cars .","sent2: ('""http://www.astonguild.org.uk/cms/forum.php?method=viewpost&forum=1&view=8739""', 17)","sent3: ('""http://www.acronym.org.uk/dd/dd73/73op03.htm""', 73)"
"radioactive waste","the london dumping convention halted all ocean dumping of radioactive waste .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and radioactive waste from natural uranium decay in the coal ) .","the european community has adopted regulations on the transboundary movement of radioactive wastes ."
"rainy season","thailand ' s monsoons arrive around july and last into november ( the ' rainy season ' ) .","the disease occurred in august and september , after the onset of the rainy season .","sent3: ('""http://www.thomsonfoundation.org.uk/sierraleone/pages/tourism/travel.htm""', 19)"
"rat race",". some people have felt the light commanding them to opt out of the rat race ' perhaps to abandon a status - driven career path in favour of work that embodies","in the bank you can then decide whether you need to get back into the rat race that put you in hospital in the first place . this cover goes hand in","could be short - term retreats for those members of the serious classes who may find the rat race - or even the mouse race - to be a bit too much for the"
"rat run","indicates that the problem in brookside is that it is used as a cut - through ( rat run ) . by far the majority of motor vehicles using this narrow street are not","about speeding vehicles , including the delivery lorries and the road being used as a rat run . john stressed that everyone with views on the proposals should write to the planning","a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a rat run between our local town and a much larger city . i have absolutely no objection"
"record book","sent1: ('""http://www.priorityyouth.co.uk/Policies/Confidentiality%20Policy.htm""', 37)","sent2: ('""http://www.insolvency.gov.uk/freedomofinformation/technical/techmanvol1/Ch13-24/Chapter17/part7/part_7.htm""', 4)","sent3: ('""http://www.iwcollege.ac.uk/default.aspx?TERM=FULL&APPID=WD005""', 21)"
"research lab","the fourth year is spent doing a research project in a ' real ' research lab .","sent2: ('""http://www.sams.ac.uk/news/archive/VacanciesonBScHonsMarineScience.htm""', 7)","sent3: ('""http://www.physsci.ltsn.ac.uk/Resources/DevelopmentProjectsSummary.aspx?id=208""', 18)"
"research project","to the european commission ' s 6 th framework programme . he also managed fp 6 research projects on ethics and contributed to eu policy development on ethics . after leaving the commission","that information as set out in this privacy policy . young lives is an international research project that is recording changes in child poverty over 15 years . author ' s home page","joined the research department at kraft foods where i worked on both continuous and branded research projects . a key part of my role was supporting the brand team with actionable consumer"
"rice paper","rice paper is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","the result is monochromatic nude self - portraits produced with chinese ink on rice paper .","sent3: ('""http://www.broadcaster.org.uk/section1/scenarios/grief.html""', 187)"
"rock bottom","has been an acceptable outturn for this season for most of us since we hit rock bottom at xmas . some fans were talking about the club being relegated and being better",". the reason why so few do is probably because their prices are cut to rock bottom for commercial reasons and this precludes much in the way of on - site voicing . if",", by acting as a star chamber in the sale of prime development land at rock bottom prices . three members of the public who bravely chased and held on to a"
"rocket science","jacket might be called ' the secret of my success ' . this is n ' t rocket science : he talks about basic business skills like negotiation , time management and creativity .","i  d rather do . i know it  s not brain surgery or rocket science , but for me it  s a privilege to work on a national news","rental yields that suggest they are 50 % or so overvalued . this is not rocket science : with a 4 % yield it takes 25 years to re - pay the value of"
"role model","- studying and observing individuals whose personal success in their field qualifies them as exceptional role models . no wonder they call it the study of excellence - the art of change","for such an honour than john charles , ' said councillor bailey . ' great role model ' ' it is , therefore , only fitting that our farewell to the gentle","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed role models . 4 . the diversity lecture in the house of commons ( february ) which"
"rush hour","subway stations also were hit in up to seven apparently coordinated blasts in the morning rush hour . trackback uri rss feed for comments on this post 1 comment » trackback by","a whole day of diving . i am already a convert to the reef ' s rush hour ! sunset is invariably a time of day when divers are dry . dusk diving","route at the northern end of the city centre . in contrast in the morning rush hour , this leopard is on a short and looping round in the octagon . the"
"sacred cow","seller , two ice cream vendors , a fruit stall , a beggar and a sacred cow have all arrived on the scene . about two dozen adults are waiting to go","worlds of art and sacrilege . for savoy , in fact , there are no sacred cows ; every icon is a balloon to be punctured . they ' ve been accused of","minds . in the complete plain words , sir ernest gowers quotes :  the sacred cows have come home to roost with a vengeance  as a stock example of the"
"search engine","wins battle for the . no domain name one of the world ' s most popular search engines won the rights thursday to the norwegian domain "" google . no . "" it","exalead 17 , for example , is in many ways a far superior search engine to either google or msn search , but i ' m going to have to remember",". paid options and free educational no ad search options available . pay - per - search put a search engine on your page and get paid ( a few cents ) everytime someone uses it"
"sex bomb","sent1: ('""http://www.multiplay.co.uk/columns.asp?m=view&id=158&uid=8503""', 17)","ferrara and holmes double - team canadian sex bomb bella marie wolf .","sent3: ('""http://www.pheasnt.demon.co.uk/mudge/iss5/fools.htm""', 26)"
"shelf life","it ' s done merely to maintain the visual appearance and extend the shelf life .","packaged parts naturally have a shorter shelf life than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","sent3: ('""http://www.outofoblivion.org.uk/industry.asp""', 23)"
"shrinking violet","vehicle to the family fleet of conventional cars . it definitely is not for the shrinking violet , you attract attention driving the solo , its very bright and in your face","ve got to be able to take a load of flack . they ' re not shrinking violets , are they ? has the second skin , the permanent flak jacket ,","my question therefore , mr president , is how long will the european union continue to behave like a sort of shrinking violet in the negotiations with turkey ?"
"silver bullet","improve data resource quality . many of these approaches are simply the current wave of silver bullets that will not substantially resolve data disparity or improve data resource quality . the only","like uncle festa , so the devil became peter cook , we all bite the silver bullet and go for one brief morbid look , at chainsaws , at ' scream '","international trade can be a powerful driver of economic growth and poverty reduction but it is not a silver bullet ."
"silver lining","sent1: ('""http://www.humanism-scotland.org.uk/phpBB/search.php?search_author=Vero""', 61)","but is the practice totally bad news for the local pharma companies or is there a silver lining ?","sent3: ('""http://stone.newton.cam.ac.uk/mirrors/netfuture/20030328/www.praxagora.com/stevet/netfuture/1998/Jun0298_72.html""', 17)"
"silver screen","the fourways built in the 1930 ' s a huge emporium to the delights of the silver screen ! after a few minutes moston lane bends to the right and ahead of us","star mike myers talk about the improved technology used to bring shrek 2 to the silver screen . they reveal how the characters and settings were developed including the look , hair","' s a bit of an insult really . actors have seen singers flop on the silver screen ( britney and mariah to name a couple ) and you would think that thoughts"
"silver spoon","a wee dig at little rich gurls   josephine snorts her coke from a silver spoon and wonders where here life is going to ?   . . these lyrics say",". the teapot was very large and almost square in shape , and the fiddle - pattern silver spoons shone brilliantly . the table looked well , and though jenifer still mourned the absence","that was made by susan matthews , chairman of the stewards ' committee . a silver spoon with an exeter hallmark was given on the day as the main part of the"
"sitting duck","tim to act as "" decoy , "" or as tim puts it "" a sitting duck . "" the police guard is removed from tim to lure the crooks who arrive",": ferdinand return gives lift to england james lawton : pot shots at europe ' s sitting ducks mean little as mcclaren ' s men wait for bigger game business directory christopher r nethercoat","have a formally constituted club . as things stand , we are slightly less a sitting duck for the tabloid rags , but the real reason by now is inertia . maybe"
"skin tone","sent1: ('""http://www.thehitchingpost.co.uk/advice/index2.php?cID=103&PHPSESSID=bf1f7689506aec49a9ea423ab6e8fd4d""', 29)","the benefits of exercise are well known and include conditioning of the heart , lungs and muscles as well as improved skin tone .","sent3: ('""http://www.cameras.co.uk/camera-reviews/nikon-coolpix-s5.cfm""', 19)"
"small fry","sent1: ('""http://www.here.org.uk/2006/01/telephone-numbers-on-banners.html""', 33)","britain is nothing , just small fry with an elevated sense of self - importance .","sent3: ('""http://www.fashioncapital.co.uk/content/view/2088/27/""', 149)"
"smoke screen","sent1: ('""http://www.mcdoa.org.uk/RN_Minewarfare_Branch.htm""', 69)","sent2: ('""http://www.effdee.demon.co.uk/tp/Stories/head.htm""', 242)","myths have become popularly known as smoke screens and are largely being peddled by the anti - gmo activists ."
"smoking gun","cause is often a breakdown in communication or record keeping and the hunt for the smoking gun ( the post - it - note on the job docket ) is the only way proof can be","april a facility near baghdad that a us officer had said might finally be "" smoking gun "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' smoking gun ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order"
"smoking jacket","the men in dinner jackets , except sir claud who is wearing a maroon velvet smoking jacket and the ladies in long , flowing , silk dresses of the 1930 ' s period","such populist drivel - i shall be watching series iv of frasier , wearing my smoking jacket ) , which spelling forum : the pub unmoderated 13 - 0","and slouchy trousers . the suiting is more dapper in tone . a black velvet smoking jacket looked super louche with a matching waistcoat and slim fitting trousers . all things considered"
"snail mail","solution however that is no excuse for not answering the telephone , not replying to snail mail , not replying to online support request submissions and not replying to emails to the","a credit card , keep checking the site , as we will be adding a snail mail order service . there will also soon be accompanying merchandise such as posters and postcards","viewed with internet explorer back to sa main site contact us : by email by snail mail : strange attractor po box 51339 london n 1 3 xy uk family sa arthur"
"snake oil",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , snake oil sellers and assorted other circus acts and quacks . crime , vice and violence flourished","published in the bmj 2 suggested that he "" may prove to be the greatest snake oil salesman of his age "" . this scathing obituary and the outrage it generated ,","the idea of quantum physics as something cool to sell snake oil was not discovered by tvi news story ."
"social insurance","sent1: ('""http://www.sochealth.co.uk/history/beveridge.htm""', 308)","sent2: ('""http://sosig.ac.uk/roads/cgi-bin/tempbyhand.pl?query=990797680-19886&database=sosigv3""', 3)","there is strong support ( especially among the well off ) for a social insurance system based on the principle of solidarity and accountability ."
"sound judgement","sent1: ('""http://npa.atalink.co.uk/articles/186""', 24)","sent2: ('""http://www2.eng.cam.ac.uk/~tpl/texts/writingreviews.html""', 123)","we ' re reassured that he ' s exercising sound judgement in this situation ."
"sparkling water","sent1: ('""http://www.raisingkids.co.uk/food/tips21.asp""', 7)","sent2: ('""http://www.edietsuk.co.uk/news/article.cfm/article_id,1371""', 14)","sent3: ('""http://www.thebabyshow.co.uk/page.cfm/link=101""', 11)"
"speed limit","to have decided in advance that crashes can be cured by simply sticking to the speed limit . we are very concerned that the "" accident investigation "" angle could be a","there would eventually be a legal obligation on drivers to set limiters to the prevailing speed limit , but control would remain in the driver ' s hands .","camera . what chance do they have if this many people are completely ignoring the speed limit ? "" . wiltshire removes lane markings to cut speeds wiltshire county council has decided"
"speed trap","sent1: ('""http://www.derbygripe.co.uk/speedcam.htm""', 22)","sent2: ('""http://www.ukspeedtraps.co.uk/gatso15.htm""', 3)","anstey had passed through the speed trap at 188 mph ( 300 . 6 km / h ) ."
"spelling bee","primarily with family and relatives or at church . activities such as penny readings , spelling bees and magic lantern shows were common forms of entertainment . occasionally travelling theatre groups would","sindi ' s repressed memory . tension mounts for bree as the state finals of the spelling bee loom . connor succeeds in luring toadie back into wrestling . episode 4730 network ten","turned up on time because he remembered to wind his watch . smith won the spelling bee because she knew how to spell ' antimacassar ' . factive mental states are broad"
"spinning jenny","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved spinning jenny . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","the flying shuttle to weaving . its eventual use far outstripped that of the cruder spinning jenny and the more limited water frame . late night ball practice : : 2 years ,","not to mav > spiral jennie a spiral jennie , nicer than the history lesson spinning jenny , would it have worked has well though mav > for the body to be"
"stag night","although it is traditionally the best man ' s responsibility to organise the stag night it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","we have been organising stag nights , parties and weekends for a long time now but we ' ll never grow bored of it !","sent3: ('""http://www.huddsonline.co.uk/lifestyle_datingRelsex_groomsmanduties.htm""', 9)"
"street girl","sent1: ('""https://www.oxfam.co.uk/what_we_do/issues/gender/links/1003nairobi.htm""', 41)","in ghana , 6 , 000 babies are living on the streets of accra with their street girl mothers .","many young street girls are vulnerable to abuse which can also result in unplanned pregnancy"
"subway system","the road above leaks into the catacombs of a subway system .","sent2: ('""http://www.nutcote.demon.co.uk/nl03nov2630.html""', 209)","new york ' s subway system carries 4 . 5 million riders daily ."
"sugar daddy","it is only polite that she doesn ' t start treating me like some sort of sugar daddy .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city sugar daddy , this place is it .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful sugar daddy ."
"swan song","debt of gratitude to paddy . his impending move to wales may make this his swan song , but many of us hope not . the following major event was the register","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political swan song . political pressures from no 10 and chile began to tell and straw was forced","rome , which reached its apex in the early cinquecento , effectively offers up a swan song for the "" italian renaissance "" writ large : it is at once an expression"
"swimming pool","an english style pub ) and more formal dining . there is a library , swimming pool , squash courts , a gym and various other athletic facilities . business / casual","mountain views . the complex is well maintained and consists of an indoor and outdoor swimming pool and lovely tropical gardens . its location makes this property an ideal holiday home with","leisure facilities : outdoor heated swimming pool may to september primarily intended for adults exercise swims ."
"tear gas","sent1: ('""http://www.rcpbml.org.uk/wdie-02/d02-64.htm""', 139)","the soldiers either experienced something they really objected to , or were ordered to disperse people , and suddenly tear gas started to fly .","he carried a nickel plated 32 - caliber revolver and a tear gas pen as protection ."
"tennis elbow","sent1: ('""http://hcd2.bupa.co.uk/fact_sheets/html/tennis_elbow.html""', 31)","sent2: ('""http://www.sportsinjurysurgery.co.uk/html/elbow.html""', 5)","sent3: ('""http://www.arc.org.uk/about_arth/opubs/synov/synovium17.htm""', 28)"
"think tank",", design and environmental initiatives . the group is intended to act as a think tank ' and offer expertise to the development community and statutory regeneration agencies . general comments","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , think tank social engineers , fascists , proto - cubists . . . round up the unusual suspects .","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist think tanks and foundations , such as the council on foreign relations . finally , i am"
"time difference","sent1: ('""http://www.birdtours.co.uk/tripreports/sri-lanka/sri15/report-03.htm""', 13)","sent2: ('""http://www.callcentre.co.uk/ccf/article.asp?ID=637""', 3)","our daughter had flown from london to los angeles the previous day and , despite the time difference , i called our son ' s la home to make sure they were safe ."
"top dog","sent1: ('""http://www.tonybingham.co.uk/column/1998/19980731.htm""', 5)","you ' ll mix with other gangs and prove who the top dog is .","you ' re going to be top dog , number one , king of the jungle ."
"traffic control","sent1: ('""http://www.cheshirefire.gov.uk/aboutus.asp?ShowArchives=&SearchType=current&txtSearchString=&selDateDay=&selDateMonth=&selDateYear=&selArchivedCriteria=&menuid=1065&PageNum=39""', 14)","sent2: ('""http://www.trg.soton.ac.uk/rosetta/workareas/1_pts/pts_pr1_present.htm""', 47)","it will soon be central in air traffic control , guiding planes to land and take - off ."
"traffic jam","but then picture him trying to drive through the traffic jam on sunday morning in downtown austin .","we got stuck in a traffic jam caused by a crash during rush hour and arrived just before lunch .","a further advantage of on - site accommodation is that guests can avoid the traffic jams which blight the city ."
"travel guide","sent1: ('""http://www.maths.leeds.ac.uk/~careers/alumni/katedaubney.htm""', 50)","sent2: ('""http://www.jolt12.co.uk/map_of_us_regions.html""', 22)","sent3: ('""http://www.dfds.co.uk/Dfds.MCms.WebApp/Modules/PagesTemplates/CommonTemplates/ProductTemplates/ProductPopup.aspx?NRMODE=Published&NRORIGINALURL=%2fDSW%2fEN%2fTravel%2fFamily%2fThingstodoinAntwerp%2ehtm&NRNODEGUID=%7bABF8F6F1-6D64-494E-A013-9E9DED6F3D7F%7d&NRCACHEHINT=Guest""', 21)"
"video game","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , video games , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","? - 7 m 56 s second featurette that looks at lara croft from the video game perspective . offer interviews with the games designers and discusses where lara goes from here","the year than several . of one percent hockey will be . data collection to video games online free poker texas hold and stance that you pa wilbon a . spare time quot"
"web site","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers web site . it may be best to contact the manufacturers of your modem in the first","up with the government position here ( mainly pro - badger killing ) , visit the defra web site , and use the search function to trace papers about badgers and tuberculosis . action","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this web site is part of a research project by graham thurgood who is a senior lecturer ."
"wedding anniversary","i also provide disco for engagement evenings , wedding evenings , wedding anniversaries , stag / hen parties .","they were presented with a card and a bottle of champagne to celebrate their 38 th wedding anniversary .","it ' s their wedding anniversary and he ' s planned a romantic night out ."
"wedding day","the engagement period is a busy and exciting time where the betrothed couple plan their wedding day and prepare for married life .","sent2: ('""http://theweddingnetwork.co.uk/Default.aspx?go=Advert&AdvertID=2670""', 5)","sent3: ('""http://www.weddingservices4u.co.uk/asp_gloucs2/GloucsWeddingtiarasveils.asp""', 2)"
"wet blanket","no wonder tom couldn ' t work with him ; he is a wet blanket .","sent2: ('""http://www.lowfield.co.uk/archers/weekly.phtml?20010422""', 12)","sent3: ('""http://www.keplersoftware.co.uk/reports/report_samples/Comp2.htm""', 272)"
"white noise","sent1: ('""http://www.sincuser.f9.co.uk/044/advent.htm""', 74)","if you try to transmit , in digital mode , into an analog repeater , all the analog radios on the repeater will simply hear white noise .","sent3: ('""http://www.newi.ac.uk/buckleyc/sound.htm""', 62)"
"white spirit","sent1: ('""http://www.wickes.co.uk/stry/tiling""', 5)","sent2: ('""http://www.urang.co.uk/atoz/atoz_decor.htm""', 19)","sent3: ('""http://www.dormanmuseum.co.uk/plan.htm""', 23)"
"winter solstice","sent1: ('""http://www.isleofavalon.co.uk/GlastonburyArchive/time/lit03.html""', 133)","sent2: ('""http://www.kami.demon.co.uk/gesithas/calendar/obs_bede.html""', 21)","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and winter solstices ."
"word painting","words and music are closely matched , and the composer introduces word painting .","his psalm accompaniments often had a good measure of old - fashioned word painting .","to have the orchestral palette available for word painting the text is her idea of vocal heaven ."
"world conference","sent1: ('""http://www.its.leeds.ac.uk/research/projectDetails.php?id=143""', 3)","eddie participated in several world conferences and was elected with the highest number of votes .","the un also held a world conference on human rights in vienna ."
"zebra crossing","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; zebra crossing . pelican crossing the name given to pedestrian crossings which use traffic lights to control","was run down by a white van , registration number nid 92 , on a zebra crossing in the goldhawk road . a van with the same registration had been seen outside","school now fronts onto a busy road and traffic speeds past , even on nearby zebra crossing . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2"
